episode #,score,progress reward,lane deviation penalty,gforce penalty,time penalty,got stuck,start,end,lap time
1,0,0,0,0,0.4388155937194824,True,2018-05-31T00:13:09.639547-07:00,2018-05-31T00:13:10.078579-07:00,0.43903183937072754
2,0,0,0,0,0.07633686065673828,True,2018-05-31T00:13:10.193374-07:00,2018-05-31T00:13:10.269917-07:00,0.07654261589050293
3,0,0,0,0,0.01585078239440918,True,2018-05-31T00:13:10.384701-07:00,2018-05-31T00:13:10.400766-07:00,0.016064882278442383
4,0,0,0,0,0.015936851501464844,True,2018-05-31T00:13:10.495535-07:00,2018-05-31T00:13:10.511680-07:00,0.016144990921020508
5,0,0,0,0,0.016134023666381836,True,2018-05-31T00:13:10.777332-07:00,2018-05-31T00:13:10.793666-07:00,0.016333818435668945
6,0,0,0,0,0.016106128692626953,True,2018-05-31T00:13:10.908249-07:00,2018-05-31T00:13:10.924578-07:00,0.01632857322692871
7,0,0,0,0,0.01684260368347168,True,2018-05-31T00:13:11.039166-07:00,2018-05-31T00:13:11.056219-07:00,0.017052888870239258
8,0,0,0,0,0.020180463790893555,True,2018-05-31T00:13:11.170071-07:00,2018-05-31T00:13:11.190484-07:00,0.020412921905517578
9,0,0,0,0,0.018597126007080078,True,2018-05-31T00:13:11.300971-07:00,2018-05-31T00:13:11.319792-07:00,0.018821239471435547
10,0,0,0,0,0.01835322380065918,True,2018-05-31T00:13:11.421794-07:00,2018-05-31T00:13:11.440368-07:00,0.018574237823486328
11,0,0,0,0,0.016885995864868164,True,2018-05-31T00:13:11.683504-07:00,2018-05-31T00:13:11.700643-07:00,0.01713848114013672
12,0,0,0,0,0.01806807518005371,True,2018-05-31T00:13:11.804347-07:00,2018-05-31T00:13:11.822634-07:00,0.018286943435668945
13,0,0,0,0,0.016078710556030273,True,2018-05-31T00:13:12.045904-07:00,2018-05-31T00:13:12.062187-07:00,0.016283035278320312
