episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,13.151999999999997,13.151999999999997,0.0,0.0,True,2018-06-10T19:19:31.085386-07:00,2018-06-10T19:19:41.376452-07:00,5.0
2,214.86799999999994,214.86799999999994,0.0,0.0,True,2018-06-10T19:19:41.461520-07:00,2018-06-10T19:19:50.135187-07:00,4.3125
3,244.86,244.86,0.0,0.0,True,2018-06-10T19:19:50.220247-07:00,2018-06-10T19:20:13.968201-07:00,13.4375
4,467.5119999999998,467.5119999999998,0.0,0.0,True,2018-06-10T19:20:14.138125-07:00,2018-06-10T19:20:40.488995-07:00,14.8125
5,114.484,114.484,0.0,0.0,True,2018-06-10T19:20:40.582997-07:00,2018-06-10T19:20:50.253321-07:00,5.5625
6,110.16000000000004,110.16000000000004,0.0,0.0,True,2018-06-10T19:20:50.348395-07:00,2018-06-10T19:21:03.944699-07:00,8.0
7,189.1719999999999,189.1719999999999,0.0,0.0,True,2018-06-10T19:21:04.029732-07:00,2018-06-10T19:21:17.645577-07:00,7.625
8,268.61999999999983,268.61999999999983,0.0,0.0,True,2018-06-10T19:21:17.730532-07:00,2018-06-10T19:22:01.598847-07:00,24.875
9,121.58800000000002,121.58800000000002,0.0,0.0,True,2018-06-10T19:22:01.683741-07:00,2018-06-10T19:22:09.683102-07:00,4.375
10,39.984,39.984,0.0,0.0,True,2018-06-10T19:22:09.768144-07:00,2018-06-10T19:22:18.421608-07:00,4.8125
11,41.05200000000001,41.05200000000001,0.0,0.0,True,2018-06-10T19:22:18.516684-07:00,2018-06-10T19:22:27.312100-07:00,4.875
12,224.38399999999993,224.38399999999993,0.0,0.0,True,2018-06-10T19:22:27.475814-07:00,2018-06-10T19:22:34.414747-07:00,4.0
13,392.0840000000031,392.0840000000031,0.0,0.0,True,2018-06-10T19:22:34.592977-07:00,2018-06-10T19:25:34.411185-07:00,99.8125
14,115.22799999999997,115.22799999999997,0.0,0.0,True,2018-06-10T19:25:34.489483-07:00,2018-06-10T19:25:41.351858-07:00,4.0625
15,24.588000000000005,24.588000000000005,0.0,0.0,True,2018-06-10T19:25:41.426406-07:00,2018-06-10T19:25:48.439020-07:00,4.0625
16,26.760000000000005,26.760000000000005,0.0,0.0,True,2018-06-10T19:25:48.523923-07:00,2018-06-10T19:25:55.375320-07:00,4.0
17,23.928000000000015,23.928000000000015,0.0,0.0,True,2018-06-10T19:25:55.460358-07:00,2018-06-10T19:26:04.772140-07:00,5.25
18,231.30799999999996,231.30799999999996,0.0,0.0,True,2018-06-10T19:26:04.943561-07:00,2018-06-10T19:26:11.694332-07:00,3.75
19,20.136000000000006,20.136000000000006,0.0,0.0,True,2018-06-10T19:26:11.789165-07:00,2018-06-10T19:26:18.717284-07:00,4.0625
20,218.43199999999993,218.43199999999993,0.0,0.0,True,2018-06-10T19:26:18.886399-07:00,2018-06-10T19:26:25.588101-07:00,4.0
21,25.620000000000005,25.620000000000005,0.0,0.0,True,2018-06-10T19:26:25.673390-07:00,2018-06-10T19:26:32.917335-07:00,4.125
22,27.564,27.564,0.0,0.0,True,2018-06-10T19:26:33.002346-07:00,2018-06-10T19:26:41.212188-07:00,4.5625
23,218.64799999999997,218.64799999999997,0.0,0.0,True,2018-06-10T19:26:41.327309-07:00,2018-06-10T19:26:47.846998-07:00,4.0
