episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,8.955999999999998,10.463999999999997,0.0,0.0,True,2018-06-11T18:40:33.481759-07:00,2018-06-11T18:40:43.857346-07:00,4.5
2,146.86399999999995,148.94399999999996,0.0,0.0,True,2018-06-11T18:40:43.992606-07:00,2018-06-11T18:41:04.896334-07:00,10.875
3,22.972000000000012,222.45199999999997,0.0,0.0,True,2018-06-11T18:41:05.001542-07:00,2018-06-11T18:41:14.813830-07:00,5.0
4,4.848,4.848,0.0,0.0,True,2018-06-11T18:41:14.997883-07:00,2018-06-11T18:41:23.341517-07:00,4.1875
5,157.008,207.56799999999996,0.0,0.0,True,2018-06-11T18:41:23.564921-07:00,2018-06-11T18:41:49.236985-07:00,13.0
6,9.655999999999995,108.83199999999995,0.0,0.0,True,2018-06-11T18:41:49.394701-07:00,2018-06-11T18:41:59.096142-07:00,5.0625
7,161.752,163.15200000000002,0.0,0.0,True,2018-06-11T18:41:59.189168-07:00,2018-06-11T18:42:18.434492-07:00,10.0
8,36.32400000000002,139.77999999999986,0.0,0.0,True,2018-06-11T18:42:18.537207-07:00,2018-06-11T18:42:33.883896-07:00,7.6875
9,19.40000000000001,22.248000000000015,0.0,0.0,True,2018-06-11T18:42:33.999194-07:00,2018-06-11T18:42:44.272587-07:00,5.1875
10,100.19200000000002,102.62400000000002,0.0,0.0,True,2018-06-11T18:42:44.367620-07:00,2018-06-11T18:43:00.096751-07:00,8.25
11,30.128000000000018,129.30399999999997,0.0,0.0,True,2018-06-11T18:43:00.201990-07:00,2018-06-11T18:43:11.159675-07:00,5.5625
12,51.21600000000001,54.38400000000001,0.0,0.0,True,2018-06-11T18:43:11.294935-07:00,2018-06-11T18:43:22.465592-07:00,5.8125
13,7.420000000000002,7.596000000000001,0.0,0.0,True,2018-06-11T18:43:22.660072-07:00,2018-06-11T18:43:31.403330-07:00,4.5625
14,55.727999999999994,58.34399999999999,0.0,0.0,True,2018-06-11T18:43:31.498583-07:00,2018-06-11T18:43:43.462592-07:00,6.0625
15,20.54800000000001,20.724000000000007,0.0,0.0,True,2018-06-11T18:43:43.597929-07:00,2018-06-11T18:43:53.513286-07:00,4.9375
16,9.759999999999998,10.295999999999996,0.0,0.0,True,2018-06-11T18:43:53.613904-07:00,2018-06-11T18:44:02.850229-07:00,4.75
17,185.588,383.5879999999996,0.0,0.0,True,2018-06-11T18:44:02.935305-07:00,2018-06-11T18:44:29.143408-07:00,13.5625
18,18.40800000000001,118.888,0.0,0.0,True,2018-06-11T18:44:29.228278-07:00,2018-06-11T18:44:38.287072-07:00,4.5
19,4.416000000000001,4.416000000000001,0.0,0.0,True,2018-06-11T18:44:38.469466-07:00,2018-06-11T18:44:47.063526-07:00,4.3125
20,37.404,86.34400000000004,0.0,0.0,True,2018-06-11T18:44:47.267029-07:00,2018-06-11T18:44:58.010769-07:00,5.5
21,5.196000000000001,5.196000000000001,0.0,0.0,True,2018-06-11T18:44:58.209524-07:00,2018-06-11T18:45:06.399626-07:00,4.0625
22,8.539999999999996,48.75999999999999,0.0,0.0,True,2018-06-11T18:45:06.564660-07:00,2018-06-11T18:45:15.418986-07:00,4.5625
23,42.400000000000006,244.75999999999988,0.0,0.0,True,2018-06-11T18:45:15.523211-07:00,2018-06-11T18:45:26.702667-07:00,5.6875
24,11.567999999999998,13.631999999999996,0.0,0.0,True,2018-06-11T18:45:26.837787-07:00,2018-06-11T18:45:34.886612-07:00,4.125
25,249.53200000000007,450.5239999999998,0.0,0.0,True,2018-06-11T18:45:34.981721-07:00,2018-06-11T18:46:05.380055-07:00,15.9375
26,10.371999999999998,111.028,0.0,0.0,True,2018-06-11T18:46:05.473691-07:00,2018-06-11T18:46:14.018507-07:00,4.1875
27,9.475999999999994,10.595999999999993,0.0,0.0,True,2018-06-11T18:46:14.130375-07:00,2018-06-11T18:46:21.960334-07:00,4.0
28,8.367999999999999,8.903999999999998,0.0,0.0,True,2018-06-11T18:46:22.082830-07:00,2018-06-11T18:46:30.240324-07:00,4.125
29,28.444000000000013,32.02800000000001,0.0,0.0,True,2018-06-11T18:46:30.449725-07:00,2018-06-11T18:46:42.111772-07:00,5.875
30,132.77200000000002,133.716,0.0,0.0,True,2018-06-11T18:46:42.216812-07:00,2018-06-11T18:47:05.952402-07:00,12.375
31,7.012000000000002,106.012,0.0,0.0,True,2018-06-11T18:47:06.053269-07:00,2018-06-11T18:47:15.481564-07:00,4.625
32,11.383999999999999,12.504,0.0,0.0,True,2018-06-11T18:47:15.616898-07:00,2018-06-11T18:47:24.693798-07:00,4.4375
33,86.90000000000006,88.98000000000006,0.0,0.0,True,2018-06-11T18:47:24.890227-07:00,2018-06-11T18:47:37.985671-07:00,6.8125
34,10.495999999999999,11.615999999999996,0.0,0.0,True,2018-06-11T18:47:38.100873-07:00,2018-06-11T18:47:46.814118-07:00,4.5625
35,349.95199999999977,351.0239999999998,0.0,0.0,True,2018-06-11T18:47:46.919161-07:00,2018-06-11T18:48:19.859464-07:00,16.9375
36,166.476,271.0839999999998,0.0,0.0,True,2018-06-11T18:48:20.049176-07:00,2018-06-11T18:48:38.586632-07:00,9.625
37,31.340000000000007,231.09199999999998,0.0,0.0,True,2018-06-11T18:48:38.751952-07:00,2018-06-11T18:48:49.599559-07:00,5.5
38,31.612000000000013,31.788000000000014,0.0,0.0,True,2018-06-11T18:48:49.684098-07:00,2018-06-11T18:49:01.511301-07:00,5.9375
39,14.368,14.903999999999998,0.0,0.0,True,2018-06-11T18:49:01.713615-07:00,2018-06-11T18:49:11.645188-07:00,5.0
40,7.4159999999999995,7.4159999999999995,0.0,0.0,True,2018-06-11T18:49:11.729220-07:00,2018-06-11T18:49:21.288843-07:00,4.875
41,152.13599999999997,154.60799999999995,0.0,0.0,True,2018-06-11T18:49:21.424193-07:00,2018-06-11T18:49:40.496691-07:00,10.125
42,138.38800000000003,237.38799999999992,0.0,0.0,True,2018-06-11T18:49:40.581551-07:00,2018-06-11T18:50:02.664032-07:00,11.1875
43,231.1919999999999,434.8639999999997,0.0,0.0,True,2018-06-11T18:50:02.798168-07:00,2018-06-11T18:50:26.964787-07:00,12.625
44,365.4279999999996,464.4279999999997,0.0,0.0,True,2018-06-11T18:50:27.069693-07:00,2018-06-11T18:51:04.364792-07:00,19.625
