episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,-9.544,0.4560000000000001,0.0,0.0,True,2018-06-12T23:26:24.384871-07:00,2018-06-12T23:26:32.878276-07:00,4.375
2,-9.864,0.136,0.0,0.0,True,2018-06-12T23:26:33.013392-07:00,2018-06-12T23:26:36.225485-07:00,1.875
3,-9.396,0.6040000000000001,0.0,0.0,True,2018-06-12T23:26:36.406191-07:00,2018-06-12T23:26:39.789019-07:00,1.9375
4,-6.567999999999998,3.432000000000002,0.0,0.0,True,2018-06-12T23:26:39.980076-07:00,2018-06-12T23:26:59.344901-07:00,10.5625
5,-10.168,-0.16799999999999998,0.0,0.0,True,2018-06-12T23:26:59.519639-07:00,2018-06-12T23:27:08.428804-07:00,4.8125
6,-7.815999999999999,2.1840000000000006,0.0,0.0,True,2018-06-12T23:27:08.649723-07:00,2018-06-12T23:27:17.907237-07:00,5.1875
7,-7.828,2.1720000000000006,0.0,0.0,True,2018-06-12T23:27:18.002263-07:00,2018-06-12T23:27:32.223888-07:00,8.4375
8,-5.979999999999998,4.020000000000002,0.0,0.0,True,2018-06-12T23:27:32.305978-07:00,2018-06-12T23:28:04.254575-07:00,18.6875
9,-3.9879999999999987,6.012000000000002,0.0,0.0,False,2018-06-12T23:28:04.475509-07:00,2018-06-12T23:28:18.403079-07:00,8.0625
10,-5.523999999999997,4.476000000000002,0.0,0.0,True,2018-06-12T23:28:18.619567-07:00,2018-06-12T23:28:30.877771-07:00,7.3125
11,-10.072,-0.07200000000000001,0.0,0.0,True,2018-06-12T23:28:30.962677-07:00,2018-06-12T23:28:34.132111-07:00,1.875
12,-9.94,0.06,0.0,0.0,True,2018-06-12T23:28:34.335198-07:00,2018-06-12T23:28:37.616886-07:00,1.875
13,-9.952,0.04799999999999999,0.0,0.0,False,2018-06-12T23:28:37.787882-07:00,2018-06-12T23:28:40.743095-07:00,1.625
14,-9.448,0.5519999999999999,0.0,0.0,False,2018-06-12T23:28:40.858261-07:00,2018-06-12T23:28:52.935367-07:00,6.375
15,-9.0,1,0.0,0.0,True,2018-06-12T23:28:53.030738-07:00,2018-06-12T23:28:53.122134-07:00,0.0625
16,-8.944,1.056,0.0,0.0,True,2018-06-12T23:28:53.218522-07:00,2018-06-12T23:29:00.745973-07:00,4.125
17,-8.232,1.7680000000000005,0.0,0.0,False,2018-06-12T23:29:00.964080-07:00,2018-06-12T23:29:07.846024-07:00,3.875
18,-10.011999999999999,-0.012000000000000002,0.0,0.0,True,2018-06-12T23:29:07.941449-07:00,2018-06-12T23:29:08.621839-07:00,0.4375
19,-6.435999999999998,3.5640000000000005,0.0,0.0,True,2018-06-12T23:29:08.716732-07:00,2018-06-12T23:29:16.877496-07:00,4.625
20,-8.368,1.6320000000000003,0.0,0.0,True,2018-06-12T23:29:16.972396-07:00,2018-06-12T23:29:24.034851-07:00,3.875
21,-10.24,-0.24,0.0,0.0,False,2018-06-12T23:29:24.241137-07:00,2018-06-12T23:29:27.468219-07:00,1.75
22,-9.808,0.19200000000000003,0.0,0.0,True,2018-06-12T23:29:27.556308-07:00,2018-06-12T23:29:27.862476-07:00,0.25
23,-7.119999999999999,2.8800000000000012,0.0,0.0,True,2018-06-12T23:29:28.036750-07:00,2018-06-12T23:29:38.614750-07:00,5.625
24,-6.987999999999999,3.0120000000000005,0.0,0.0,True,2018-06-12T23:29:38.703045-07:00,2018-06-12T23:29:47.425259-07:00,4.75
25,-4.372,5.628,0.0,0.0,True,2018-06-12T23:29:47.523127-07:00,2018-06-12T23:29:59.370666-07:00,6.4375
26,1.5320000000000036,11.532000000000004,0.0,0.0,True,2018-06-12T23:29:59.470631-07:00,2018-06-12T23:30:09.051101-07:00,5.5
27,6.5600000000000005,16.56,0.0,0.0,False,2018-06-12T23:30:09.138136-07:00,2018-06-12T23:30:20.120894-07:00,6.5
28,-8.0,2.0,0.0,0.0,True,2018-06-12T23:30:20.208333-07:00,2018-06-12T23:30:20.640186-07:00,0.25
29,0.4880000000000031,10.488000000000003,0.0,0.0,True,2018-06-12T23:30:20.735144-07:00,2018-06-12T23:30:30.395990-07:00,5.5625
30,-9.652,0.3479999999999999,0.0,0.0,True,2018-06-12T23:30:30.487388-07:00,2018-06-12T23:30:35.228256-07:00,2.6875
31,-9.304,0.696,0.0,0.0,False,2018-06-12T23:30:35.323269-07:00,2018-06-12T23:30:37.765007-07:00,1.375
32,-9.868,0.132,0.0,0.0,True,2018-06-12T23:30:37.940813-07:00,2018-06-12T23:30:41.380312-07:00,2.0
33,-9.904,0.09600000000000003,0.0,0.0,False,2018-06-12T23:30:41.474619-07:00,2018-06-12T23:30:44.349348-07:00,1.625
34,-10.0,0.0,0.0,0.0,True,2018-06-12T23:30:44.434752-07:00,2018-06-12T23:30:44.616850-07:00,0.125
35,-9.904,0.09599999999999997,0.0,0.0,False,2018-06-12T23:30:44.714337-07:00,2018-06-12T23:30:47.501192-07:00,1.625
36,-9.808,0.19200000000000003,0.0,0.0,True,2018-06-12T23:30:47.586227-07:00,2018-06-12T23:30:47.844083-07:00,0.1875
37,-9.399999999999999,0.6,0.0,0.0,True,2018-06-12T23:30:48.009095-07:00,2018-06-12T23:30:52.716542-07:00,2.5625
38,-9.252,0.7479999999999999,0.0,0.0,False,2018-06-12T23:30:52.810719-07:00,2018-06-12T23:30:55.549452-07:00,1.5
39,2.372000000000007,12.372000000000007,0.0,0.0,True,2018-06-12T23:30:55.652001-07:00,2018-06-12T23:31:05.965924-07:00,5.9375
40,-9.963999999999999,0.03599999999999999,0.0,0.0,True,2018-06-12T23:31:06.057194-07:00,2018-06-12T23:31:10.901581-07:00,2.6875
41,0.5600000000000005,10.56,0.0,0.0,True,2018-06-12T23:31:11.004430-07:00,2018-06-12T23:31:24.813886-07:00,7.625
42,-5.475999999999997,4.524000000000002,0.0,0.0,True,2018-06-12T23:31:24.909107-07:00,2018-06-12T23:31:36.533860-07:00,6.5625
43,-6.780000000000002,3.2199999999999984,0.0,0.0,True,2018-06-12T23:31:36.622392-07:00,2018-06-12T23:31:44.802065-07:00,4.75
44,5.888000000000002,15.888000000000002,0.0,0.0,False,2018-06-12T23:31:44.965421-07:00,2018-06-12T23:31:58.249778-07:00,7.4375
45,-7.976000000000001,2.024,0.0,0.0,True,2018-06-12T23:31:58.354671-07:00,2018-06-12T23:31:59.246114-07:00,0.5
46,-2.8799999999999963,7.120000000000003,0.0,0.0,False,2018-06-12T23:31:59.361403-07:00,2018-06-12T23:32:13.542427-07:00,7.6875
47,-10.0,0.0,0.0,0.0,True,2018-06-12T23:32:13.650060-07:00,2018-06-12T23:32:14.207045-07:00,0.375
48,-1.227999999999998,8.772000000000002,0.0,0.0,False,2018-06-12T23:32:14.341980-07:00,2018-06-12T23:32:24.596669-07:00,5.6875
49,-9.024,0.976,0.0,0.0,True,2018-06-12T23:32:24.822279-07:00,2018-06-12T23:32:24.999234-07:00,0.125
50,-2.0559999999999947,7.944000000000005,0.0,0.0,True,2018-06-12T23:32:25.095141-07:00,2018-06-12T23:32:37.245057-07:00,6.625
51,-4.696,5.304,0.0,0.0,True,2018-06-12T23:32:37.458854-07:00,2018-06-12T23:32:51.056663-07:00,7.5625
52,-0.0519999999999996,9.948,0.0,0.0,True,2018-06-12T23:32:51.151489-07:00,2018-06-12T23:33:01.901326-07:00,5.875
53,6.559999999999999,16.56,0.0,0.0,True,2018-06-12T23:33:01.995965-07:00,2018-06-12T23:33:12.080781-07:00,5.625
54,-8.120000000000001,1.88,0.0,0.0,False,2018-06-12T23:33:12.178944-07:00,2018-06-12T23:33:15.105786-07:00,1.5625
55,-9.832,0.16800000000000004,0.0,0.0,True,2018-06-12T23:33:15.216685-07:00,2018-06-12T23:33:15.929533-07:00,0.4375
56,-3.267999999999998,6.732000000000002,0.0,0.0,True,2018-06-12T23:33:16.143003-07:00,2018-06-12T23:33:30.336648-07:00,7.75
57,-5.0200000000000005,4.9799999999999995,0.0,0.0,False,2018-06-12T23:33:30.430761-07:00,2018-06-12T23:33:40.333727-07:00,5.5
58,-9.988,0.012000000000000002,0.0,0.0,True,2018-06-12T23:33:40.430129-07:00,2018-06-12T23:33:40.937851-07:00,0.375
59,-9.58,0.42,0.0,0.0,False,2018-06-12T23:33:41.123504-07:00,2018-06-12T23:33:47.532567-07:00,3.5
60,-10.0,0.0,0.0,0.0,True,2018-06-12T23:33:47.727392-07:00,2018-06-12T23:33:47.814283-07:00,0.0625
61,-8.248,1.7520000000000013,0.0,0.0,True,2018-06-12T23:33:47.911165-07:00,2018-06-12T23:33:59.280951-07:00,6.25
62,-9.556000000000001,0.4439999999999999,0.0,0.0,True,2018-06-12T23:33:59.385386-07:00,2018-06-12T23:34:05.853151-07:00,3.5625
63,-9.828,0.17199999999999988,0.0,0.0,False,2018-06-12T23:34:06.050158-07:00,2018-06-12T23:34:08.421542-07:00,1.375
64,3.259999999999998,13.259999999999998,0.0,0.0,True,2018-06-12T23:34:08.518234-07:00,2018-06-12T23:34:19.095591-07:00,6.1875
65,12.42000000000001,22.420000000000012,0.0,0.0,True,2018-06-12T23:34:19.191408-07:00,2018-06-12T23:34:32.203991-07:00,7.5
66,-9.616,0.38399999999999995,0.0,0.0,True,2018-06-12T23:34:32.298889-07:00,2018-06-12T23:34:39.210909-07:00,3.75
67,-10.276,-0.276,0.0,0.0,False,2018-06-12T23:34:39.316094-07:00,2018-06-12T23:34:46.984875-07:00,3.875
68,-9.892,0.108,0.0,0.0,True,2018-06-12T23:34:47.168884-07:00,2018-06-12T23:34:47.454986-07:00,0.25
69,-9.892,0.10800000000000008,0.0,0.0,False,2018-06-12T23:34:47.662302-07:00,2018-06-12T23:34:54.074371-07:00,3.375
70,-9.892,0.108,0.0,0.0,True,2018-06-12T23:34:54.257031-07:00,2018-06-12T23:34:54.695801-07:00,0.375
71,-10.168,-0.16799999999999998,0.0,0.0,False,2018-06-12T23:34:54.871384-07:00,2018-06-12T23:35:00.123037-07:00,2.75
72,-9.64,0.36000000000000026,0.0,0.0,True,2018-06-12T23:35:00.227947-07:00,2018-06-12T23:35:06.770172-07:00,3.625
73,-3.496000000000002,6.503999999999998,0.0,0.0,True,2018-06-12T23:35:06.870245-07:00,2018-06-12T23:35:25.263401-07:00,10.5
74,9.511999999999993,19.511999999999993,0.0,0.0,False,2018-06-12T23:35:25.353758-07:00,2018-06-12T23:35:37.363721-07:00,7.0
75,-10.024,-0.024000000000000004,0.0,0.0,True,2018-06-12T23:35:37.456439-07:00,2018-06-12T23:35:37.997698-07:00,0.3125
76,8.212000000000002,18.212000000000003,0.0,0.0,False,2018-06-12T23:35:38.086817-07:00,2018-06-12T23:35:47.903746-07:00,5.8125
77,-9.0,1.0,0.0,0.0,True,2018-06-12T23:35:48.079450-07:00,2018-06-12T23:35:48.236734-07:00,0.125
78,2.0000000000000018,12.000000000000002,0.0,0.0,False,2018-06-12T23:35:48.361487-07:00,2018-06-12T23:36:00.411224-07:00,6.75
79,-9.0,1,0.0,0.0,True,2018-06-12T23:36:00.503533-07:00,2018-06-12T23:36:00.602644-07:00,0.0625
80,1.128000000000002,11.128000000000002,0.0,0.0,True,2018-06-12T23:36:00.699323-07:00,2018-06-12T23:36:09.844160-07:00,4.9375
81,-3.208,6.792000000000001,0.0,0.0,False,2018-06-12T23:36:09.939752-07:00,2018-06-12T23:36:20.836650-07:00,6.125
82,-10.0,0.0,0.0,0.0,True,2018-06-12T23:36:21.025009-07:00,2018-06-12T23:36:21.533967-07:00,0.375
83,1.3639999999999972,11.363999999999997,0.0,0.0,False,2018-06-12T23:36:21.709458-07:00,2018-06-12T23:36:33.343913-07:00,6.25
84,-8.0,2.0,0.0,0.0,True,2018-06-12T23:36:33.459209-07:00,2018-06-12T23:36:33.897690-07:00,0.25
85,-9.495999999999999,0.504,0.0,0.0,True,2018-06-12T23:36:33.992903-07:00,2018-06-12T23:36:41.049535-07:00,3.75
86,-4.976000000000001,5.024,0.0,0.0,True,2018-06-12T23:36:41.153474-07:00,2018-06-12T23:36:49.087849-07:00,4.5
87,-10.0,-1.942890293094024e-16,0.0,0.0,False,2018-06-12T23:36:49.283875-07:00,2018-06-12T23:36:55.835782-07:00,3.6875
88,-9.496,0.504,0.0,0.0,True,2018-06-12T23:36:56.029289-07:00,2018-06-12T23:36:56.301527-07:00,0.25
89,-9.52,0.4800000000000001,0.0,0.0,True,2018-06-12T23:36:56.512489-07:00,2018-06-12T23:37:02.986071-07:00,3.5625
90,-7.347999999999999,2.6520000000000006,0.0,0.0,True,2018-06-12T23:37:03.166713-07:00,2018-06-12T23:37:12.236928-07:00,5.0
91,-10.06,-0.06000000000000001,0.0,0.0,False,2018-06-12T23:37:12.349812-07:00,2018-06-12T23:37:15.312428-07:00,1.625
92,-8.164,1.8359999999999999,0.0,0.0,False,2018-06-12T23:37:15.407636-07:00,2018-06-12T23:37:25.339142-07:00,5.4375
93,-7.072,2.928000000000001,0.0,0.0,True,2018-06-12T23:37:25.434543-07:00,2018-06-12T23:37:36.344008-07:00,6.0625
94,-8.116,1.8840000000000003,0.0,0.0,True,2018-06-12T23:37:36.447411-07:00,2018-06-12T23:37:47.859751-07:00,6.1875

median score,-8.656
avg score,-6.263489361702126
std,5.185963255576027
high score,12.42000000000001
low score,-10.276
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --sync"
git commit,@698d9d8
git diff,2018-06-12__11-26-10PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
