episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,-10.456,-0.45600000000000007,0.0,0.0,True,False,2018-06-17T17:48:27.970333-07:00,2018-06-17T17:48:32.883314-07:00,2.0625
2,-10.804,-0.804,0.0,0.0,True,False,2018-06-17T17:48:33.062225-07:00,2018-06-17T17:48:36.421301-07:00,2.0625
3,-9.448,0.552,0.0,0.0,True,False,2018-06-17T17:48:36.566581-07:00,2018-06-17T17:48:46.891998-07:00,6.4375
4,-6.544,3.4560000000000004,0.0,0.0,True,False,2018-06-17T17:48:46.987104-07:00,2018-06-17T17:49:01.109730-07:00,8.75
5,-10.888,-0.888,0.0,0.0,True,False,2018-06-17T17:49:01.204444-07:00,2018-06-17T17:49:04.643490-07:00,2.1875
6,-9.976,0.024,0.0,0.0,True,False,2018-06-17T17:49:04.718168-07:00,2018-06-17T17:49:07.593162-07:00,1.75
7,-83.63967547402257,33.21600000000004,106.85567547402256,0.0,True,False,2018-06-17T17:49:07.758659-07:00,2018-06-17T17:49:55.429529-07:00,27.3125
8,-771.9449072638329,36.66399296880726,798.60890023264,0.0,True,False,2018-06-17T17:49:55.520064-07:00,2018-06-17T17:50:30.825928-07:00,19.8125
9,-283.73755345448114,15.808000000000002,289.54555345448114,0.0,True,False,2018-06-17T17:50:30.918460-07:00,2018-06-17T17:50:50.305843-07:00,11.25
10,-14.476184235842922,-0.40800000000000014,4.0681842358429225,0.0,True,False,2018-06-17T17:50:50.410077-07:00,2018-06-17T17:50:53.818407-07:00,1.9375
11,-5.055999999999998,4.944000000000002,0.0,0.0,True,False,2018-06-17T17:50:54.064262-07:00,2018-06-17T17:51:14.394851-07:00,9.125
12,-10.648000000000001,-0.6480000000000002,0.0,0.0,True,False,2018-06-17T17:51:14.520209-07:00,2018-06-17T17:51:24.982403-07:00,5.375
13,-411.74944756867416,15.347999999999972,417.0974475686741,0.0,True,False,2018-06-17T17:51:25.190953-07:00,2018-06-17T17:52:10.156372-07:00,24.0
14,-88.4552376203236,22.212000000000046,100.66723762032362,0.0,True,False,2018-06-17T17:52:10.231213-07:00,2018-06-17T17:52:40.772515-07:00,14.0625
15,-978.5750612786168,27.67200000000001,996.2470612786169,0.0,True,False,2018-06-17T17:52:40.897768-07:00,2018-06-17T17:53:14.289149-07:00,20.6875
16,-2944.596558156209,177.30399999999997,3111.9005581562087,0.0,True,False,2018-06-17T17:53:14.394046-07:00,2018-06-17T17:54:29.778709-07:00,46.5
17,-405.9883942321732,6.880000000000001,402.86839423217316,0.0,True,False,2018-06-17T17:54:29.938504-07:00,2018-06-17T17:54:43.415758-07:00,8.625
18,15.632869023301835,58.824,33.19113097669816,0.0,True,False,2018-06-17T17:54:43.500211-07:00,2018-06-17T17:54:59.442634-07:00,8.875
19,-0.7424627820136767,36.92399296880724,27.66645575082091,0.0,True,False,2018-06-17T17:54:59.537674-07:00,2018-06-17T17:55:22.430527-07:00,12.8125
20,-8.914392432926833,1.62,0.5343924329268338,0.0,True,False,2018-06-17T17:55:22.520715-07:00,2018-06-17T17:55:33.561448-07:00,6.125
21,-10.528,-0.5280000000000001,0.0,0.0,True,False,2018-06-17T17:55:33.666438-07:00,2018-06-17T17:55:37.446864-07:00,2.0625
22,-4.284000000000002,5.715999999999998,0.0,0.0,True,False,2018-06-17T17:55:37.572231-07:00,2018-06-17T17:55:46.137554-07:00,5.0
23,30.191287897530756,44.22,4.028712102469241,0.0,False,True,2018-06-17T17:55:46.331370-07:00,2018-06-17T17:56:10.539158-07:00,13.875
24,-31.69131610952572,18.412000000000006,40.10331610952573,0.0,True,False,2018-06-17T17:56:10.654504-07:00,2018-06-17T17:56:23.470331-07:00,7.4375
25,-50.46193702561908,118.75200000000001,159.213937025619,0.0,False,True,2018-06-17T17:56:23.560794-07:00,2018-06-17T17:56:47.722567-07:00,13.6875
26,-9.0,1.0,0.0,0.0,True,False,2018-06-17T17:56:47.799011-07:00,2018-06-17T17:56:48.003917-07:00,0.1875
27,-34.283976068233585,43.296,67.57997606823362,0.0,False,True,2018-06-17T17:56:48.186961-07:00,2018-06-17T17:57:22.686259-07:00,21.1875
28,-9.719178958514705,0.988,0.7071789585147054,0.0,True,False,2018-06-17T17:57:22.770773-07:00,2018-06-17T17:57:23.622094-07:00,0.5
29,-67.18572589039515,57.20800000000003,114.39372589039519,0.0,True,False,2018-06-17T17:57:23.727125-07:00,2018-06-17T17:57:47.128085-07:00,13.1875
30,-11.365531479213015,0.8079999999999999,2.1735314792130143,0.0,True,False,2018-06-17T17:57:47.274066-07:00,2018-06-17T17:57:53.269342-07:00,3.625
31,-5.079999999999999,4.920000000000001,0.0,0.0,False,True,2018-06-17T17:57:53.425986-07:00,2018-06-17T17:58:14.344104-07:00,10.375
32,-10.0,0.0,0.0,0.0,True,False,2018-06-17T17:58:14.535256-07:00,2018-06-17T17:58:15.055125-07:00,0.375
33,-9.724,0.2759999999999998,0.0,0.0,True,False,2018-06-17T17:58:15.209814-07:00,2018-06-17T17:58:18.899900-07:00,2.0
34,-754.4378605315151,130.3280000000001,874.7658605315153,0.0,True,False,2018-06-17T17:58:19.005018-07:00,2018-06-17T17:59:06.523124-07:00,28.375
35,-51.45508047997802,11.632000000000003,53.08708047997801,0.0,True,False,2018-06-17T17:59:06.596517-07:00,2018-06-17T17:59:18.351791-07:00,7.4375
36,-11.07920266471841,0.024000000000000004,1.1032026647184103,0.0,False,True,2018-06-17T17:59:18.429238-07:00,2018-06-17T17:59:20.688924-07:00,1.0625
37,-12.495999999999999,-2.4960000000000004,0.0,0.0,False,True,2018-06-17T17:59:20.801708-07:00,2018-06-17T17:59:24.190293-07:00,1.8125
38,-10.047999999999998,-0.04800000000000001,0.0,0.0,True,False,2018-06-17T17:59:24.274672-07:00,2018-06-17T17:59:25.005086-07:00,0.3125
39,-573.7293702319281,214.11599999999984,787.8453702319289,0.0,False,False,2018-06-17T17:59:25.100151-07:00,2018-06-17T18:00:23.398977-07:00,30.4375
40,-283.7355825888108,111.40399999999998,385.13958258881075,0.0,True,False,2018-06-17T18:00:23.479110-07:00,2018-06-17T18:00:45.324334-07:00,14.0
41,-1062.2537351767608,83.81599999999999,1136.0697351767606,0.0,True,False,2018-06-17T18:00:45.398772-07:00,2018-06-17T18:01:16.473077-07:00,16.5625
42,-205.94438570958405,303.13999999999965,499.0843857095841,0.0,True,False,2018-06-17T18:01:16.627721-07:00,2018-06-17T18:02:09.371117-07:00,30.0625
43,-699.8259863932292,76.54399999999998,766.3699863932293,0.0,True,False,2018-06-17T18:02:09.542505-07:00,2018-06-17T18:02:40.293288-07:00,20.0625
44,-217.58703534214,52.48030005859375,260.06733540073384,0.0,True,False,2018-06-17T18:02:40.460429-07:00,2018-06-17T18:03:06.390270-07:00,15.1875
45,-9.852190934218704,1.732,1.584190934218705,0.0,True,False,2018-06-17T18:03:06.505625-07:00,2018-06-17T18:03:15.280801-07:00,5.25
46,-100.3663334478388,24.264000000000014,114.63033344783882,0.0,True,False,2018-06-17T18:03:15.385703-07:00,2018-06-17T18:03:34.903084-07:00,11.4375
47,-62.59763323283876,82.58800000000005,135.18563323283874,0.0,True,False,2018-06-17T18:03:34.998185-07:00,2018-06-17T18:03:57.046503-07:00,12.4375
48,-4.129246010945554,7.636000000000003,1.765246010945557,0.0,True,False,2018-06-17T18:03:57.216288-07:00,2018-06-17T18:04:19.350903-07:00,10.6875
49,-7.394920352345926,13.775999999999998,11.170920352345926,0.0,True,False,2018-06-17T18:04:19.464933-07:00,2018-06-17T18:04:29.932574-07:00,6.0625
50,-54.38283351127046,10.788000000000004,55.170833511270466,0.0,True,False,2018-06-17T18:04:30.017683-07:00,2018-06-17T18:04:41.591247-07:00,6.75
51,-24.421176926118946,70.78800000000003,85.20917692611891,0.0,True,False,2018-06-17T18:04:41.686365-07:00,2018-06-17T18:05:05.954403-07:00,13.5625
52,-406.9084871364405,9.19200000000002,406.1004871364405,0.0,False,True,2018-06-17T18:05:06.039615-07:00,2018-06-17T18:05:25.302386-07:00,11.125
53,-319.53490597692536,87.79599999999999,397.3309059769254,0.0,True,False,2018-06-17T18:05:25.540244-07:00,2018-06-17T18:05:41.834720-07:00,9.125
54,-19.432000000000002,0.568,10.0,0.0,True,False,2018-06-17T18:05:41.990052-07:00,2018-06-17T18:05:45.349181-07:00,2.1875
55,-1182.9389680020304,423.9120000000001,1596.8509680020313,0.0,True,False,2018-06-17T18:05:45.453520-07:00,2018-06-17T18:07:22.721350-07:00,55.125
56,-456.5386966550767,838.8278500036613,1285.3665466587397,0.0,True,False,2018-06-17T18:07:22.886064-07:00,2018-06-17T18:09:15.619651-07:00,63.5625
57,-171.09009614580114,263.7959999999997,424.8860961458011,0.0,True,False,2018-06-17T18:09:15.704757-07:00,2018-06-17T18:10:21.193076-07:00,39.125
58,253.81246247926092,964.3361218768304,700.52365939757,0.0,False,True,2018-06-17T18:10:21.278189-07:00,2018-06-17T18:11:16.766965-07:00,31.125
59,12.78569398445934,63.26400000000004,40.47830601554066,0.0,True,False,2018-06-17T18:11:16.851062-07:00,2018-06-17T18:11:37.638036-07:00,12.3125
60,18.162769207575018,120.33999999999999,92.17723079242502,0.0,True,False,2018-06-17T18:11:37.784205-07:00,2018-06-17T18:12:02.980875-07:00,15.5625
61,-1435.866947299137,129.32799999999997,1555.1949472991364,0.0,True,False,2018-06-17T18:12:03.055786-07:00,2018-06-17T18:12:50.279388-07:00,26.8125
62,-1376.854043127837,352.61200000000196,1729.4660431278269,0.0,False,False,2018-06-17T18:12:50.384718-07:00,2018-06-17T18:15:09.211729-07:00,76.8125
63,-125.51851725542977,18.148000000000003,133.6665172554297,0.0,False,True,2018-06-17T18:15:09.306939-07:00,2018-06-17T18:15:21.170940-07:00,6.625
64,-10.858080709935724,0.06000000000000001,0.9180807099357248,0.0,True,False,2018-06-17T18:15:21.266447-07:00,2018-06-17T18:15:22.306752-07:00,0.6875
65,-241.5025707046313,202.81600000000006,434.31857070463144,0.0,True,False,2018-06-17T18:15:22.464514-07:00,2018-06-17T18:16:08.560082-07:00,26.5625
66,-3145.379278925661,539.0440000000013,3674.423278925654,0.0,True,False,2018-06-17T18:16:08.694998-07:00,2018-06-17T18:18:32.134563-07:00,84.5
67,-26.5501937599414,20.276000000000003,36.826193759941404,0.0,True,False,2018-06-17T18:18:32.378896-07:00,2018-06-17T18:18:41.103236-07:00,4.875
68,-1006.5195516522855,192.70800000000017,1189.227551652286,0.0,True,False,2018-06-17T18:18:41.207938-07:00,2018-06-17T18:19:58.622514-07:00,44.8125
69,-1130.7494433545219,214.37599999999972,1345.1254433545223,0.0,False,False,2018-06-17T18:19:58.697377-07:00,2018-06-17T18:20:56.087397-07:00,31.625
70,-150.8535677424323,34.38800000000001,175.2415677424323,0.0,True,False,2018-06-17T18:20:56.301143-07:00,2018-06-17T18:21:16.201452-07:00,11.5625
