episode #,score,rate of progress reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,4053.279086474517,5450.44689168028,725.8076063179091,671.3601988878542,False,2018-06-01T12:48:14.376623-07:00,2018-06-01T12:52:03.564436-07:00,229.18781304359436
2,4387.319137240637,5569.764789601071,527.70544759937,654.7402047610758,False,2018-06-01T12:52:03.740334-07:00,2018-06-01T12:55:50.903562-07:00,227.16322803497314
3,4195.765863903658,5445.564729882327,617.1515070156653,632.6473589630133,False,2018-06-01T12:55:50.955268-07:00,2018-06-01T12:59:39.613843-07:00,228.65857577323914
4,4283.264457722949,5564.586263503111,580.3097400422164,701.0120657379516,False,2018-06-01T12:59:39.667003-07:00,2018-06-01T13:03:26.402497-07:00,226.73549342155457
5,4230.165537744407,5498.09205284837,563.0566441453138,704.869870958637,False,2018-06-01T13:03:26.572703-07:00,2018-06-01T13:07:13.553694-07:00,226.98099088668823
6,4251.034115286496,5518.532673524987,570.3779455455802,697.1206126929061,False,2018-06-01T13:07:13.608835-07:00,2018-06-01T13:11:00.212676-07:00,226.60384058952332
7,4293.422137016437,5408.36098999239,454.3933510337515,660.5455019422141,False,2018-06-01T13:11:00.266447-07:00,2018-06-01T13:14:47.868661-07:00,227.6022138595581
8,4224.379451428256,5453.74661679151,551.7859823231307,677.5811830401258,False,2018-06-01T13:14:48.004354-07:00,2018-06-01T13:18:34.662868-07:00,226.65851354599
9,4040.318951306933,5473.709537869644,723.7534244467286,709.6371621159956,False,2018-06-01T13:18:34.817406-07:00,2018-06-01T13:22:22.142102-07:00,227.32469654083252
10,4349.9051969740485,5617.8839076440745,597.342445183349,670.6362654866869,False,2018-06-01T13:22:22.319542-07:00,2018-06-01T13:26:09.296598-07:00,226.97705554962158
11,4388.534174971391,5544.576187093478,434.5743570564405,721.4676550656591,False,2018-06-01T13:26:09.353999-07:00,2018-06-01T13:29:55.517881-07:00,226.16388249397278
12,4275.945400510231,5609.37116294983,692.8180098649385,640.6077525746492,False,2018-06-01T13:29:55.578817-07:00,2018-06-01T13:33:43.267459-07:00,227.68864250183105
13,4477.037269498129,5451.580681756391,306.84069574652244,667.7027165117563,False,2018-06-01T13:33:43.324387-07:00,2018-06-01T13:37:30.437051-07:00,227.11266422271729
14,4184.79314431855,5622.870035418698,748.1834629154282,689.8934281847486,False,2018-06-01T13:37:30.494094-07:00,2018-06-01T13:41:16.762894-07:00,226.26879978179932
15,4277.764159138267,5492.724486762641,558.9139534592059,656.0463741651778,False,2018-06-01T13:41:16.820268-07:00,2018-06-01T13:45:03.570137-07:00,226.7498688697815
16,4356.304120423928,5548.06273464655,501.37339467718334,690.3852195454409,False,2018-06-01T13:45:03.730437-07:00,2018-06-01T13:48:49.817387-07:00,226.0869495868683
17,4266.808039132997,5514.025288884836,582.1286918346912,665.0885579171539,False,2018-06-01T13:48:49.954855-07:00,2018-06-01T13:52:36.261881-07:00,226.30702590942383
18,4377.342976360964,5559.9751842308315,485.6986809267481,696.9335269431241,False,2018-06-01T13:52:36.322242-07:00,2018-06-01T13:56:23.801173-07:00,227.47893071174622
19,4055.8112323501077,5413.353726507598,681.2289703106053,676.3135238468813,False,2018-06-01T13:56:23.870486-07:00,2018-06-01T14:00:15.618622-07:00,231.74813580513

median score,4275.945400510231
avg score,4261.53655009489
std,116.50627147307434
high score,4477.037269498129
low score,4040.318951306933
env,Deepdrive-v0
args,--baseline
git commit,@e266c92
experiment name,n/a
os,linux
gpus,GeForce GTX 980
