episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,-10.588000000000001,-0.5880000000000001,0.0,0.0,True,2018-06-16T10:21:23.711092-07:00,2018-06-16T10:21:28.676034-07:00,2.0625
2,-10.84,-0.8400000000000001,0.0,0.0,False,2018-06-16T10:21:28.852088-07:00,2018-06-16T10:21:31.646116-07:00,1.6875
3,-10.0,0.0,0.0,0.0,True,2018-06-16T10:21:31.731517-07:00,2018-06-16T10:21:32.398751-07:00,0.4375
4,-10.203999999999999,-0.20400000000000001,0.0,0.0,True,2018-06-16T10:21:32.567168-07:00,2018-06-16T10:21:35.734012-07:00,1.9375
5,-10.336,-0.336,0.0,0.0,True,2018-06-16T10:21:35.812942-07:00,2018-06-16T10:21:39.137187-07:00,1.875
6,-4.423999999999997,5.576000000000002,0.0,0.0,False,2018-06-16T10:21:39.216287-07:00,2018-06-16T10:21:58.277945-07:00,10.9375
7,-9.0,1,0.0,0.0,True,2018-06-16T10:21:58.370681-07:00,2018-06-16T10:21:58.437775-07:00,0.0625
8,-10.18,-0.17999999999999974,0.0,0.0,True,2018-06-16T10:21:58.515674-07:00,2018-06-16T10:22:04.032311-07:00,3.1875
9,-10.624,-0.624,0.0,0.0,True,2018-06-16T10:22:04.219147-07:00,2018-06-16T10:22:14.614465-07:00,6.0625
10,-10.976,-0.9760000000000001,0.0,0.0,True,2018-06-16T10:22:14.699498-07:00,2018-06-16T10:22:18.414675-07:00,2.0625
11,-10.42,-0.42000000000000004,0.0,0.0,True,2018-06-16T10:22:18.504992-07:00,2018-06-16T10:22:22.013713-07:00,1.75
12,-9.136,0.8640000000000001,0.0,0.0,True,2018-06-16T10:22:22.128989-07:00,2018-06-16T10:22:32.583555-07:00,5.3125
13,-9.868,0.13200000000000003,0.0,0.0,True,2018-06-16T10:22:32.768866-07:00,2018-06-16T10:22:36.121767-07:00,1.625
14,-9.628,0.37200000000000005,0.0,0.0,True,2018-06-16T10:22:36.251852-07:00,2018-06-16T10:22:45.737206-07:00,4.5
15,-5.847999999999999,4.152000000000002,0.0,0.0,True,2018-06-16T10:22:45.946515-07:00,2018-06-16T10:23:04.990056-07:00,10.4375
16,-11.116,-1.116,0.0,0.0,True,2018-06-16T10:23:05.085260-07:00,2018-06-16T10:23:08.966850-07:00,2.25
17,-10.672,-0.6720000000000002,0.0,0.0,True,2018-06-16T10:23:09.112194-07:00,2018-06-16T10:23:12.450091-07:00,2.0625
18,-9.376000000000001,0.624,0.0,0.0,True,2018-06-16T10:23:12.636066-07:00,2018-06-16T10:23:21.380658-07:00,5.125
19,-5.33200351559639,4.667996484403611,0.0,0.0,True,2018-06-16T10:23:21.515403-07:00,2018-06-16T10:23:27.963151-07:00,3.6875
20,-13.732,-3.732,0.0,0.0,False,2018-06-16T10:23:28.120040-07:00,2018-06-16T10:23:31.105323-07:00,1.6875
21,-10.0,0.0,0.0,0.0,True,2018-06-16T10:23:31.200668-07:00,2018-06-16T10:23:31.719660-07:00,0.3125
22,-10.0,-6.938893903907228e-18,0.0,0.0,True,2018-06-16T10:23:31.804704-07:00,2018-06-16T10:23:34.800364-07:00,1.8125
23,-12.064,-2.0640000000000005,0.0,0.0,True,2018-06-16T10:23:34.885508-07:00,2018-06-16T10:23:38.637422-07:00,1.9375
24,-9.712,0.28799999999999987,0.0,0.0,True,2018-06-16T10:23:38.731483-07:00,2018-06-16T10:23:45.945953-07:00,4.1875
25,-9.736,0.2640000000000002,0.0,0.0,True,2018-06-16T10:23:46.026757-07:00,2018-06-16T10:23:52.303912-07:00,3.5625
26,-12.972000000000001,-2.9720000000000004,0.0,0.0,False,2018-06-16T10:23:52.394314-07:00,2018-06-16T10:23:55.581043-07:00,1.75
27,-8.584,1.4160000000000001,0.0,0.0,True,2018-06-16T10:23:55.696666-07:00,2018-06-16T10:24:01.531644-07:00,3.375
28,-12.568,-2.5680000000000005,0.0,0.0,False,2018-06-16T10:24:01.626648-07:00,2018-06-16T10:24:04.645566-07:00,1.75
29,-9.976,0.024000000000000004,0.0,0.0,True,2018-06-16T10:24:04.758226-07:00,2018-06-16T10:24:05.176805-07:00,0.25
30,-10.228,-0.22800000000000015,0.0,0.0,True,2018-06-16T10:24:05.291807-07:00,2018-06-16T10:24:09.052563-07:00,2.25
31,-10.155999999999999,-0.156,0.0,0.0,True,2018-06-16T10:24:09.157767-07:00,2018-06-16T10:24:14.810566-07:00,2.75
32,-11.584,-1.5840000000000003,0.0,0.0,True,2018-06-16T10:24:14.915826-07:00,2018-06-16T10:24:22.703581-07:00,4.3125
33,-10.504000000000001,-0.5040000000000001,0.0,0.0,True,2018-06-16T10:24:22.798765-07:00,2018-06-16T10:24:26.213516-07:00,1.8125
34,-8.187999999999999,1.8120000000000005,0.0,0.0,True,2018-06-16T10:24:26.412874-07:00,2018-06-16T10:24:33.611427-07:00,4.25
35,-13.796,-3.7960000000000003,0.0,0.0,False,2018-06-16T10:24:33.712520-07:00,2018-06-16T10:24:36.749095-07:00,1.6875
36,-10.168,-0.168,0.0,0.0,True,2018-06-16T10:24:36.863915-07:00,2018-06-16T10:24:40.861808-07:00,2.0625
37,-10.524000000000001,-0.5240000000000004,0.0,0.0,False,2018-06-16T10:24:41.061556-07:00,2018-06-16T10:24:44.254755-07:00,1.875
38,-11.0,-1,0.0,0.0,True,2018-06-16T10:24:44.434100-07:00,2018-06-16T10:24:44.524299-07:00,0.0625
39,-9.436,0.5640000000000003,0.0,0.0,True,2018-06-16T10:24:44.612340-07:00,2018-06-16T10:24:56.355405-07:00,7.0625
40,-9.916,0.08400000000000003,0.0,0.0,True,2018-06-16T10:24:56.464803-07:00,2018-06-16T10:25:06.146133-07:00,5.625
41,-1.5999999999999979,8.400000000000002,0.0,0.0,True,2018-06-16T10:25:06.291481-07:00,2018-06-16T10:25:29.031905-07:00,13.25
42,-9.304,0.6960000000000003,0.0,0.0,True,2018-06-16T10:25:29.136779-07:00,2018-06-16T10:25:38.233008-07:00,4.0
43,-8.404,1.596,0.0,0.0,True,2018-06-16T10:25:38.398576-07:00,2018-06-16T10:25:52.057847-07:00,7.75
44,-8.632,1.3680000000000003,0.0,0.0,True,2018-06-16T10:25:52.211949-07:00,2018-06-16T10:25:59.708335-07:00,4.5625
45,-12.424,-2.4240000000000004,0.0,0.0,True,2018-06-16T10:25:59.803042-07:00,2018-06-16T10:26:03.223450-07:00,2.1875
46,-10.444,-0.44400000000000006,0.0,0.0,True,2018-06-16T10:26:03.407202-07:00,2018-06-16T10:26:06.731083-07:00,1.875
47,-10.108,-0.108,0.0,0.0,True,2018-06-16T10:26:06.910528-07:00,2018-06-16T10:26:14.136839-07:00,4.125
48,-6.915999999999999,3.084000000000002,0.0,0.0,True,2018-06-16T10:26:14.240063-07:00,2018-06-16T10:26:30.262621-07:00,8.9375
49,-9.772,0.22800000000000012,0.0,0.0,True,2018-06-16T10:26:30.418074-07:00,2018-06-16T10:26:40.817559-07:00,4.875
50,-8.452,1.548000000000001,0.0,0.0,False,2018-06-16T10:26:40.998985-07:00,2018-06-16T10:26:53.308444-07:00,7.1875
51,-10.024,-0.024000000000000004,0.0,0.0,True,2018-06-16T10:26:53.444009-07:00,2018-06-16T10:26:54.376320-07:00,0.5
52,-8.956,1.0439999999999998,0.0,0.0,True,2018-06-16T10:26:54.468729-07:00,2018-06-16T10:27:03.104357-07:00,4.8125
53,-7.708,2.2920000000000003,0.0,0.0,True,2018-06-16T10:27:03.192998-07:00,2018-06-16T10:27:09.602904-07:00,3.625
