episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
44,8.432000000000011,18.43200000000001,0.0,0.0,True,False,2018-06-16T18:29:19.993382-07:00,2018-06-16T18:29:35.679850-07:00,7.0625
45,-6.564,3.4360000000000004,0.0,0.0,True,False,2018-06-16T18:29:35.812486-07:00,2018-06-16T18:29:46.156310-07:00,4.3125
46,-4.156000000000001,5.844,0.0,0.0,False,True,2018-06-16T18:29:46.300656-07:00,2018-06-16T18:30:03.017274-07:00,8.8125
47,-10.048,-0.04800000000000001,0.0,0.0,True,False,2018-06-16T18:30:03.225305-07:00,2018-06-16T18:30:03.835475-07:00,0.3125
48,-3.7239999999999993,6.276000000000001,0.0,0.0,False,True,2018-06-16T18:30:03.949138-07:00,2018-06-16T18:30:13.754084-07:00,4.3125
49,-10.024,-0.024000000000000004,0.0,0.0,True,False,2018-06-16T18:30:13.895902-07:00,2018-06-16T18:30:15.338288-07:00,0.6875
50,-10.251999999999999,-0.25200000000000006,0.0,0.0,True,False,2018-06-16T18:30:15.478105-07:00,2018-06-16T18:30:18.876970-07:00,1.5
51,-6.976,3.024,0.0,0.0,True,False,2018-06-16T18:30:19.037370-07:00,2018-06-16T18:30:28.634327-07:00,4.625
52,-10.623999999999999,-0.6240000000000002,0.0,0.0,True,False,2018-06-16T18:30:28.848472-07:00,2018-06-16T18:30:33.231654-07:00,2.0625
53,-9.759999999999998,0.2400000000000004,0.0,0.0,True,False,2018-06-16T18:30:33.352623-07:00,2018-06-16T18:30:41.926192-07:00,3.625
54,-7.272,2.7279999999999993,0.0,0.0,False,True,2018-06-16T18:30:42.048798-07:00,2018-06-16T18:30:49.866261-07:00,3.9375
55,-10.012,-0.012000000000000002,0.0,0.0,True,False,2018-06-16T18:30:49.978466-07:00,2018-06-16T18:30:50.790620-07:00,0.4375
56,-7.263999999999999,2.736,0.0,0.0,True,False,2018-06-16T18:30:50.915391-07:00,2018-06-16T18:31:01.132001-07:00,4.875
57,-7.776,2.2239999999999998,0.0,0.0,False,True,2018-06-16T18:31:01.261549-07:00,2018-06-16T18:31:10.830664-07:00,4.4375
58,-10.0,0.0,0.0,0.0,True,False,2018-06-16T18:31:10.983524-07:00,2018-06-16T18:31:11.517462-07:00,0.1875
59,-9.207999999999998,0.7920000000000001,0.0,0.0,True,False,2018-06-16T18:31:11.626180-07:00,2018-06-16T18:31:19.975454-07:00,4.1875
60,-8.032,1.9680000000000004,0.0,0.0,True,False,2018-06-16T18:31:20.074215-07:00,2018-06-16T18:31:30.897867-07:00,4.875
61,-7.372,2.6279999999999997,0.0,0.0,False,True,2018-06-16T18:31:31.011547-07:00,2018-06-16T18:31:37.635504-07:00,3.1875
62,-9.976,0.024000000000000004,0.0,0.0,True,False,2018-06-16T18:31:37.750556-07:00,2018-06-16T18:31:38.512093-07:00,0.4375
63,-9.964,0.03599999999999996,0.0,0.0,True,False,2018-06-16T18:31:38.626835-07:00,2018-06-16T18:31:42.352588-07:00,1.875
64,5.343999999999999,15.344,0.0,0.0,True,False,2018-06-16T18:31:42.474725-07:00,2018-06-16T18:31:56.182793-07:00,6.6875
65,-8.32,1.6799999999999997,0.0,0.0,False,True,2018-06-16T18:31:56.326397-07:00,2018-06-16T18:32:05.772791-07:00,4.375
66,-9.0,1,0.0,0.0,True,False,2018-06-16T18:32:05.876804-07:00,2018-06-16T18:32:06.024589-07:00,0.0625
67,-6.904,3.0960000000000005,0.0,0.0,True,False,2018-06-16T18:32:06.179388-07:00,2018-06-16T18:32:15.052795-07:00,4.1875
68,-4.224,5.776000000000001,0.0,0.0,True,False,2018-06-16T18:32:15.157819-07:00,2018-06-16T18:32:26.393589-07:00,5.4375
69,-8.32,1.6799999999999997,0.0,0.0,False,True,2018-06-16T18:32:26.590541-07:00,2018-06-16T18:32:34.586056-07:00,4.0
70,-2.395999999999999,7.604000000000001,0.0,0.0,True,False,2018-06-16T18:32:34.710206-07:00,2018-06-16T18:32:43.379423-07:00,3.9375
71,17.168000000000013,27.16800000000001,0.0,0.0,False,True,2018-06-16T18:32:43.504040-07:00,2018-06-16T18:33:03.905136-07:00,9.9375
72,-9.0,1,0.0,0.0,True,False,2018-06-16T18:33:04.016099-07:00,2018-06-16T18:33:04.155327-07:00,0.0625
73,-12.532,-2.5320000000000005,0.0,0.0,False,True,2018-06-16T18:33:04.248611-07:00,2018-06-16T18:33:09.224876-07:00,2.125
74,-10.012,-0.012000000000000002,0.0,0.0,True,False,2018-06-16T18:33:09.365163-07:00,2018-06-16T18:33:10.177512-07:00,0.375
75,-2.411999999999999,7.588000000000001,0.0,0.0,True,False,2018-06-16T18:33:10.280238-07:00,2018-06-16T18:33:24.654979-07:00,7.0625
76,-9.064,0.9359999999999998,0.0,0.0,False,True,2018-06-16T18:33:24.799092-07:00,2018-06-16T18:33:32.293244-07:00,3.25
77,-10.048,-0.04800000000000001,0.0,0.0,True,False,2018-06-16T18:33:32.425878-07:00,2018-06-16T18:33:34.275403-07:00,0.875
78,-7.899999999999999,2.1000000000000014,0.0,0.0,False,True,2018-06-16T18:33:34.430462-07:00,2018-06-16T18:33:44.073041-07:00,4.125
79,-11.511999999999999,-1.512,0.0,0.0,False,True,2018-06-16T18:33:44.206894-07:00,2018-06-16T18:33:50.508797-07:00,3.25
80,-11.187999999999999,-1.1880000000000002,0.0,0.0,False,True,2018-06-16T18:33:50.639158-07:00,2018-06-16T18:33:54.645211-07:00,1.75
81,-10.024,-0.024000000000000004,0.0,0.0,True,False,2018-06-16T18:33:54.749780-07:00,2018-06-16T18:33:56.024672-07:00,0.625
82,-8.104,1.896,0.0,0.0,False,True,2018-06-16T18:33:56.190176-07:00,2018-06-16T18:34:07.243714-07:00,5.3125
83,-10.0,0.0,0.0,0.0,True,False,2018-06-16T18:34:07.371878-07:00,2018-06-16T18:34:07.985756-07:00,0.3125
84,-4.571999999999999,5.428,0.0,0.0,False,True,2018-06-16T18:34:08.097981-07:00,2018-06-16T18:34:18.532530-07:00,5.1875
85,-10.0,0.0,0.0,0.0,True,False,2018-06-16T18:34:18.634959-07:00,2018-06-16T18:34:19.226035-07:00,0.3125
86,-0.6239999999999934,9.376000000000007,0.0,0.0,True,False,2018-06-16T18:34:19.340716-07:00,2018-06-16T18:34:28.722242-07:00,4.6875
87,1.3399999999999999,11.34,0.0,0.0,True,False,2018-06-16T18:34:28.930848-07:00,2018-06-16T18:34:38.961778-07:00,4.6875
88,-7.516,2.484,0.0,0.0,True,False,2018-06-16T18:34:39.166656-07:00,2018-06-16T18:34:54.688693-07:00,7.4375
89,-10.936,-0.9359999999999999,0.0,0.0,False,True,2018-06-16T18:34:54.812765-07:00,2018-06-16T18:35:03.724384-07:00,4.6875
90,-10.024,-0.024000000000000004,0.0,0.0,True,False,2018-06-16T18:35:03.830639-07:00,2018-06-16T18:35:04.792709-07:00,0.5625
91,-10.372,-0.3720000000000001,0.0,0.0,True,False,2018-06-16T18:35:05.019100-07:00,2018-06-16T18:35:08.463260-07:00,1.4375
92,12.108000000000006,22.108000000000008,0.0,0.0,False,True,2018-06-16T18:35:08.626211-07:00,2018-06-16T18:35:19.714152-07:00,5.375
93,-10.0,0.0,0.0,0.0,True,False,2018-06-16T18:35:19.909714-07:00,2018-06-16T18:35:20.753709-07:00,0.5
94,-10.552,-0.5520000000000002,0.0,0.0,True,False,2018-06-16T18:35:20.987629-07:00,2018-06-16T18:35:24.821706-07:00,1.8125
95,-8.139999999999999,1.8600000000000008,0.0,0.0,False,True,2018-06-16T18:35:24.987177-07:00,2018-06-16T18:35:34.091718-07:00,4.125
96,-9.004,0.9960000000000006,0.0,0.0,False,True,2018-06-16T18:35:34.255694-07:00,2018-06-16T18:35:44.460240-07:00,4.875
97,-14.924,-4.9239999999999995,0.0,0.0,False,True,2018-06-16T18:35:44.572900-07:00,2018-06-16T18:35:47.935610-07:00,1.625
98,-11.0,-1,0.0,0.0,True,False,2018-06-16T18:35:48.068997-07:00,2018-06-16T18:35:48.197031-07:00,0.0625
99,-8.655999999999999,1.344,0.0,0.0,False,True,2018-06-16T18:35:48.296170-07:00,2018-06-16T18:35:56.448148-07:00,3.4375
100,-10.0,0,0.0,0.0,True,False,2018-06-16T18:35:56.602386-07:00,2018-06-16T18:35:56.855190-07:00,0.125
101,-4.992000000000002,5.007999999999999,0.0,0.0,True,False,2018-06-16T18:35:56.985260-07:00,2018-06-16T18:36:06.082620-07:00,4.5
102,-5.524,4.476,0.0,0.0,True,False,2018-06-16T18:36:06.222358-07:00,2018-06-16T18:36:21.682678-07:00,7.1875
103,-12.004,-2.004,0.0,0.0,True,False,2018-06-16T18:36:21.918162-07:00,2018-06-16T18:36:25.566333-07:00,1.6875
104,-7.552,2.448,0.0,0.0,True,False,2018-06-16T18:36:25.736735-07:00,2018-06-16T18:36:38.157149-07:00,5.4375
105,-10.024000000000001,-0.02400000000000005,0.0,0.0,False,True,2018-06-16T18:36:38.281392-07:00,2018-06-16T18:36:47.511372-07:00,4.0625
106,-10.0,0.0,0.0,0.0,True,False,2018-06-16T18:36:47.625442-07:00,2018-06-16T18:36:48.347486-07:00,0.375
107,-10.264,-0.264,0.0,0.0,True,False,2018-06-16T18:36:48.461595-07:00,2018-06-16T18:36:52.885309-07:00,1.9375
108,-9.94,0.059999999999999956,0.0,0.0,False,True,2018-06-16T18:36:53.003967-07:00,2018-06-16T18:37:01.462448-07:00,3.75
109,-9.616,0.38400000000000006,0.0,0.0,True,False,2018-06-16T18:37:01.577785-07:00,2018-06-16T18:37:02.158297-07:00,0.3125
110,-10.516,-0.516,0.0,0.0,False,True,2018-06-16T18:37:02.272786-07:00,2018-06-16T18:37:09.834968-07:00,3.5625
111,-3.5999999999999988,6.400000000000001,0.0,0.0,False,True,2018-06-16T18:37:09.949130-07:00,2018-06-16T18:37:18.871379-07:00,4.1875
112,-10.0,0.0,0.0,0.0,True,False,2018-06-16T18:37:18.986246-07:00,2018-06-16T18:37:19.470237-07:00,0.1875
113,-11.616,-1.6160000000000003,0.0,0.0,True,False,2018-06-16T18:37:19.584334-07:00,2018-06-16T18:37:22.539131-07:00,1.375
114,7.040000000000001,17.04,0.0,0.0,True,False,2018-06-16T18:37:22.674025-07:00,2018-06-16T18:37:35.808595-07:00,5.5625
115,-14.056000000000001,-4.056,0.0,0.0,True,False,2018-06-16T18:37:35.943300-07:00,2018-06-16T18:37:39.618652-07:00,1.625
116,-10.624,-0.624,0.0,0.0,False,True,2018-06-16T18:37:39.741634-07:00,2018-06-16T18:37:51.739254-07:00,5.9375
117,-10.0,0.0,0.0,0.0,True,False,2018-06-16T18:37:51.873959-07:00,2018-06-16T18:37:52.086195-07:00,0.125
118,-12.052,-2.0520000000000005,0.0,0.0,False,True,2018-06-16T18:37:52.210261-07:00,2018-06-16T18:37:55.403439-07:00,1.625
119,-12.04,-2.0400000000000005,0.0,0.0,False,True,2018-06-16T18:37:55.591419-07:00,2018-06-16T18:38:09.510714-07:00,5.6875
120,-9.976,0.024000000000000004,0.0,0.0,True,False,2018-06-16T18:38:09.695533-07:00,2018-06-16T18:38:10.700590-07:00,0.5
121,-11.02,-1.02,0.0,0.0,False,True,2018-06-16T18:38:10.824008-07:00,2018-06-16T18:38:14.125435-07:00,1.6875
122,-6.340000000000001,3.6599999999999997,0.0,0.0,False,True,2018-06-16T18:38:14.246040-07:00,2018-06-16T18:38:22.954367-07:00,3.875
123,-10.408,-0.40800000000000003,0.0,0.0,False,True,2018-06-16T18:38:23.134247-07:00,2018-06-16T18:38:33.481861-07:00,4.6875
124,-10.024,-0.024000000000000004,0.0,0.0,True,False,2018-06-16T18:38:33.624085-07:00,2018-06-16T18:38:33.742473-07:00,0.0625
125,-3.9479999999999995,6.0520000000000005,0.0,0.0,True,False,2018-06-16T18:38:33.849583-07:00,2018-06-16T18:38:44.006260-07:00,4.5625
126,-11.200000000000001,-1.2000000000000002,0.0,0.0,False,True,2018-06-16T18:38:44.112998-07:00,2018-06-16T18:38:52.010392-07:00,3.25
127,-10.0,0,0.0,0.0,True,False,2018-06-16T18:38:52.173255-07:00,2018-06-16T18:38:52.433502-07:00,0.125
128,-2.752,7.248,0.0,0.0,True,False,2018-06-16T18:38:52.547019-07:00,2018-06-16T18:39:00.998709-07:00,4.1875
129,-10.384,-0.3840000000000001,0.0,0.0,False,True,2018-06-16T18:39:01.189489-07:00,2018-06-16T18:39:07.650364-07:00,3.375
130,-7.883999999999999,2.1160000000000014,0.0,0.0,False,True,2018-06-16T18:39:07.858783-07:00,2018-06-16T18:39:19.098826-07:00,4.9375
131,-9.0,1,0.0,0.0,True,False,2018-06-16T18:39:19.223956-07:00,2018-06-16T18:39:19.340915-07:00,0.0625
132,-10.576,-0.5760000000000001,0.0,0.0,False,True,2018-06-16T18:39:19.447872-07:00,2018-06-16T18:39:22.221067-07:00,1.3125
133,-8.812,1.188,0.0,0.0,False,True,2018-06-16T18:39:22.329137-07:00,2018-06-16T18:39:28.992755-07:00,3.25
134,-9.808,0.192,0.0,0.0,True,False,2018-06-16T18:39:29.216894-07:00,2018-06-16T18:39:29.969491-07:00,0.375
135,-10.636,-0.6359999999999998,0.0,0.0,False,True,2018-06-16T18:39:30.123809-07:00,2018-06-16T18:39:36.724603-07:00,3.25
136,-9.788,0.21200000000000002,0.0,0.0,False,True,2018-06-16T18:39:36.896389-07:00,2018-06-16T18:39:44.372108-07:00,3.5625
137,-9.976,0.024000000000000004,0.0,0.0,True,False,2018-06-16T18:39:44.491730-07:00,2018-06-16T18:39:45.315920-07:00,0.5
138,-10.491999999999999,-0.4919999999999998,0.0,0.0,False,True,2018-06-16T18:39:45.447882-07:00,2018-06-16T18:39:53.729202-07:00,3.75
139,-14.168000000000001,-4.168000000000001,0.0,0.0,True,False,2018-06-16T18:39:53.913175-07:00,2018-06-16T18:39:57.496988-07:00,1.75
140,-11.452,-1.452,0.0,0.0,True,False,2018-06-16T18:39:57.620792-07:00,2018-06-16T18:40:01.646974-07:00,1.9375
141,-11.632,-1.6320000000000001,0.0,0.0,False,True,2018-06-16T18:40:01.791888-07:00,2018-06-16T18:40:13.248375-07:00,4.75
142,-10.024,-0.024000000000000004,0.0,0.0,True,False,2018-06-16T18:40:13.382375-07:00,2018-06-16T18:40:14.264737-07:00,0.25
143,-3.6559999999999997,6.344,0.0,0.0,False,True,2018-06-16T18:40:14.377183-07:00,2018-06-16T18:40:23.507938-07:00,3.9375
144,-10.0,0,0.0,0.0,True,False,2018-06-16T18:40:23.640587-07:00,2018-06-16T18:40:23.846934-07:00,0.125
145,-11.739999999999998,-1.7399999999999995,0.0,0.0,False,True,2018-06-16T18:40:23.965706-07:00,2018-06-16T18:40:32.744997-07:00,3.9375
146,-10.0,0.0,0.0,0.0,True,False,2018-06-16T18:40:32.868302-07:00,2018-06-16T18:40:34.166462-07:00,0.625
147,-10.768,-0.7680000000000002,0.0,0.0,False,True,2018-06-16T18:40:34.285753-07:00,2018-06-16T18:40:37.251108-07:00,1.375
