episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,-7497.173754188776,0.0,7497.173754188776,0.0,True,2018-06-10T14:15:23.654505-07:00,2018-06-10T14:16:52.625487-07:00,8.75
2,-12636.620559545763,0.0,12636.620559545763,0.0,True,2018-06-10T14:16:52.709511-07:00,2018-06-10T14:17:15.837086-07:00,13.25
3,-19026.79507218205,0.0,19026.79507218205,0.0,True,2018-06-10T14:17:15.921556-07:00,2018-06-10T14:17:48.775136-07:00,18.375
4,-6728.395134295098,0.0,6728.395134295098,0.0,True,2018-06-10T14:17:48.967381-07:00,2018-06-10T14:18:13.577956-07:00,14.0625
5,-18007.772845381645,0.0,18007.772845381645,0.0,True,2018-06-10T14:18:13.668413-07:00,2018-06-10T14:18:51.403540-07:00,20.875
6,-14936.472341243785,0.0,14936.472341243785,0.0,True,2018-06-10T14:18:51.485173-07:00,2018-06-10T14:19:17.809047-07:00,15.1875
7,-25636.46386812663,0.0,25636.46386812663,0.0,True,2018-06-10T14:19:17.888779-07:00,2018-06-10T14:20:44.749557-07:00,31.25
8,-7997.229322101336,0.0,7997.229322101336,0.0,True,2018-06-10T14:20:44.844229-07:00,2018-06-10T14:21:12.339665-07:00,15.5625
9,-7871.151499117836,0.0,7871.151499117836,0.0,True,2018-06-10T14:21:12.444389-07:00,2018-06-10T14:21:33.281670-07:00,11.6875
10,-13800.0,0.0,13800.0,0.0,True,2018-06-10T14:21:33.452262-07:00,2018-06-10T14:21:57.728835-07:00,14.375
11,-8076.2419056384015,0.0,8076.2419056384015,0.0,True,2018-06-10T14:21:57.803026-07:00,2018-06-10T14:22:13.946391-07:00,9.4375
12,-9419.515683458465,0.0,9419.515683458465,0.0,True,2018-06-10T14:22:14.130251-07:00,2018-06-10T14:22:41.477660-07:00,16.0625
13,-7900.0,0.0,7900.0,0.0,True,2018-06-10T14:22:41.562004-07:00,2018-06-10T14:22:57.402181-07:00,9.1875
14,-7100.0,0.0,7100.0,0.0,True,2018-06-10T14:22:57.506639-07:00,2018-06-10T14:23:11.815714-07:00,8.4375
15,-7000.0,0.0,7000.0,0.0,True,2018-06-10T14:23:11.900469-07:00,2018-06-10T14:23:26.130737-07:00,8.375
16,-9382.840999542508,0.0,9382.840999542508,0.0,True,2018-06-10T14:23:26.214559-07:00,2018-06-10T14:23:58.511217-07:00,17.875
17,-6800.0,0.0,6800.0,0.0,True,2018-06-10T14:23:58.614359-07:00,2018-06-10T14:24:12.575342-07:00,8.1875
18,-10529.028525302394,0.0,10529.028525302394,0.0,True,2018-06-10T14:24:12.656943-07:00,2018-06-10T14:24:46.103003-07:00,18.9375
