episode #,score,rate of progress reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,234.40218280058036,1821.445874425784,871.4961696324951,715.5475219927096,False,2018-05-31T19:00:17.102751-07:00,2018-05-31T19:04:05.441858-07:00,228.339106798172
2,693.370994589755,1866.6652649995813,470.32228329818776,702.9719871116378,False,2018-05-31T19:04:05.491850-07:00,2018-05-31T19:07:52.345660-07:00,226.85381078720093
3,816.4711521258266,1836.179922818211,346.42307812782684,673.2856925645552,False,2018-05-31T19:07:52.480936-07:00,2018-05-31T19:11:40.704314-07:00,228.22337865829468
4,546.3857346210592,1907.0312604518856,605.7591171577674,754.8864086730572,False,2018-05-31T19:11:40.873261-07:00,2018-05-31T19:15:27.922104-07:00,227.04884243011475
5,707.1053147888044,1907.597482774973,485.6614699492725,714.8306980368978,False,2018-05-31T19:15:27.971158-07:00,2018-05-31T19:19:14.577691-07:00,226.6065330505371
6,529.0517910313218,1916.9303176223546,715.7094392214275,672.1690873696037,False,2018-05-31T19:19:14.628069-07:00,2018-05-31T19:23:01.063457-07:00,226.43538808822632
7,884.7371401754292,1855.5410887333296,278.1784610231577,692.6254875347439,False,2018-05-31T19:23:01.113564-07:00,2018-05-31T19:26:48.690449-07:00,227.57688450813293
8,585.3943093426944,1949.8633501114705,691.1737551782793,673.2952855904981,False,2018-05-31T19:26:48.740302-07:00,2018-05-31T19:30:35.782706-07:00,227.04240322113037
9,636.6267894310005,1881.9686194057813,523.2632821673639,722.0785478074145,False,2018-05-31T19:30:35.833622-07:00,2018-05-31T19:34:23.004500-07:00,227.17087817192078
10,459.5085502162598,1872.0910080390913,656.2693654479231,756.313092374915,False,2018-05-31T19:34:23.145730-07:00,2018-05-31T19:38:11.780876-07:00,228.63514518737793
11,723.3080575545087,1895.9195944137352,472.7270770337139,699.8844598255127,False,2018-05-31T19:38:11.956378-07:00,2018-05-31T19:41:58.898841-07:00,226.94246315956116
12,617.213963488556,1864.052076716996,582.1064691848321,664.7316440436083,False,2018-05-31T19:41:58.952350-07:00,2018-05-31T19:45:46.650071-07:00,227.69772100448608
13,874.5667508340384,1902.3387501673703,346.56194333578884,681.2100559975452,False,2018-05-31T19:45:46.709733-07:00,2018-05-31T19:49:33.631801-07:00,226.92206859588623
14,807.6715903820351,1871.6315680281682,423.0183606321268,640.9416170140074,False,2018-05-31T19:49:33.684337-07:00,2018-05-31T19:53:22.063216-07:00,228.37887930870056
15,664.4041427894157,1906.8101873960218,559.7313339592883,682.6747106473156,False,2018-05-31T19:53:22.119427-07:00,2018-05-31T19:57:08.518541-07:00,226.3991138935089
16,581.8337921801146,1822.6573379459626,481.10123738545866,759.7223083803863,False,2018-05-31T19:57:08.652556-07:00,2018-05-31T20:00:56.487582-07:00,227.83502650260925
17,651.1496177638383,1882.6458263001625,551.9929147871652,679.5032937491583,False,2018-05-31T20:00:56.666590-07:00,2018-05-31T20:04:44.053707-07:00,227.38711667060852
18,770.4879131200202,1902.5762697111925,453.8950583693597,678.193298221817,False,2018-05-31T20:04:44.119062-07:00,2018-05-31T20:08:31.472869-07:00,227.35380744934082
19,655.2436220864049,1905.017097837114,585.7752370378707,663.9982387128339,False,2018-05-31T20:08:31.527375-07:00,2018-05-31T20:12:19.029348-07:00,227.50197291374207
