episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,-9.772,0.22800000000000004,0.0,0.0,True,2018-06-14T21:51:37.754584-07:00,2018-06-14T21:51:43.413416-07:00,1.5625
2,-9.268,0.7319999999999999,0.0,0.0,True,2018-06-14T21:51:43.558915-07:00,2018-06-14T21:51:47.412406-07:00,1.75
3,-10.012,-0.012000000000000025,0.0,0.0,False,2018-06-14T21:51:47.621792-07:00,2018-06-14T21:51:50.643767-07:00,1.6875
4,-9.808,0.19200000000000003,0.0,0.0,True,2018-06-14T21:51:50.833311-07:00,2018-06-14T21:51:51.140964-07:00,0.25
5,-9.544,0.4560000000000001,0.0,0.0,True,2018-06-14T21:51:51.316592-07:00,2018-06-14T21:51:55.944937-07:00,2.3125
6,-7.679999999999999,2.3200000000000007,0.0,0.0,True,2018-06-14T21:51:56.158837-07:00,2018-06-14T21:52:08.679924-07:00,6.4375
7,-7.72,2.2800000000000002,0.0,0.0,True,2018-06-14T21:52:08.913104-07:00,2018-06-14T21:52:16.346092-07:00,4.0
8,-10.048,-0.048,0.0,0.0,True,2018-06-14T21:52:16.583695-07:00,2018-06-14T21:52:19.870095-07:00,1.6875
9,-9.88,0.12,0.0,0.0,True,2018-06-14T21:52:20.117149-07:00,2018-06-14T21:52:23.272748-07:00,1.75
10,-9.112,0.8880000000000003,0.0,0.0,True,2018-06-14T21:52:23.499310-07:00,2018-06-14T21:52:34.386861-07:00,5.625
11,-10.072,-0.07200000000000001,0.0,0.0,True,2018-06-14T21:52:34.482068-07:00,2018-06-14T21:52:38.182711-07:00,1.875
12,-9.196,0.8040000000000005,0.0,0.0,True,2018-06-14T21:52:38.277640-07:00,2018-06-14T21:52:51.417197-07:00,7.0625
13,-10.072000000000001,-0.07200000000000001,0.0,0.0,True,2018-06-14T21:52:51.616009-07:00,2018-06-14T21:52:55.800002-07:00,2.25
14,-9.82,0.18,0.0,0.0,True,2018-06-14T21:52:55.894608-07:00,2018-06-14T21:53:00.540646-07:00,1.4375
15,-9.12,0.88,0.0,0.0,True,2018-06-14T21:53:00.764867-07:00,2018-06-14T21:53:04.158135-07:00,1.6875
16,-10.0,-1.9081958235744878e-17,0.0,0.0,False,2018-06-14T21:53:04.341474-07:00,2018-06-14T21:53:07.793999-07:00,1.8125
17,-9.808,0.19200000000000003,0.0,0.0,True,2018-06-14T21:53:07.905024-07:00,2018-06-14T21:53:08.261965-07:00,0.25
18,-7.9239999999999995,2.076000000000001,0.0,0.0,True,2018-06-14T21:53:08.498957-07:00,2018-06-14T21:53:27.600342-07:00,10.1875
19,-10.036,-0.03599999999999999,0.0,0.0,True,2018-06-14T21:53:27.756128-07:00,2018-06-14T21:53:31.336854-07:00,1.9375
20,-9.892,0.10800000000000003,0.0,0.0,False,2018-06-14T21:53:31.441511-07:00,2018-06-14T21:53:34.924748-07:00,1.875
21,-8.2,1.8000000000000003,0.0,0.0,True,2018-06-14T21:53:35.125845-07:00,2018-06-14T21:53:45.540733-07:00,5.5
22,-8.427999999999999,1.5720000000000005,0.0,0.0,True,2018-06-14T21:53:45.646027-07:00,2018-06-14T21:53:59.085846-07:00,6.8125
23,-9.832,0.16800000000000012,0.0,0.0,True,2018-06-14T21:53:59.186419-07:00,2018-06-14T21:54:13.512306-07:00,7.6875
24,-9.976,0.023999999999999983,0.0,0.0,True,2018-06-14T21:54:13.713138-07:00,2018-06-14T21:54:18.168841-07:00,2.4375
25,-9.712,0.28800000000000003,0.0,0.0,False,2018-06-14T21:54:18.383889-07:00,2018-06-14T21:54:23.103019-07:00,2.5
26,-9.856000000000002,0.144,0.0,0.0,True,2018-06-14T21:54:23.196588-07:00,2018-06-14T21:54:23.906872-07:00,0.4375
27,-8.475999999999999,1.5240000000000005,0.0,0.0,True,2018-06-14T21:54:24.042142-07:00,2018-06-14T21:54:39.641871-07:00,8.4375
28,-9.999999999999998,2.0816681711721685e-17,0.0,0.0,True,2018-06-14T21:54:39.777236-07:00,2018-06-14T21:54:42.964429-07:00,1.6875
29,-9.34,0.6599999999999999,0.0,0.0,True,2018-06-14T21:54:43.069530-07:00,2018-06-14T21:54:52.159509-07:00,4.75
30,-9.004,0.996,0.0,0.0,True,2018-06-14T21:54:52.260214-07:00,2018-06-14T21:55:06.011829-07:00,7.1875
31,-10.06,-0.06000000000000001,0.0,0.0,False,2018-06-14T21:55:06.223018-07:00,2018-06-14T21:55:09.278978-07:00,1.375
32,-9.856000000000002,0.144,0.0,0.0,True,2018-06-14T21:55:09.384410-07:00,2018-06-14T21:55:10.225389-07:00,0.5
33,-9.316,0.684,0.0,0.0,True,2018-06-14T21:55:10.320606-07:00,2018-06-14T21:55:15.451666-07:00,2.625
34,-8.904,1.096,0.0,0.0,True,2018-06-14T21:55:15.576626-07:00,2018-06-14T21:55:25.216499-07:00,5.1875
35,-10.06,-0.06000000000000001,0.0,0.0,False,2018-06-14T21:55:25.311532-07:00,2018-06-14T21:55:28.034785-07:00,1.5
36,-9.736,0.2640000000000001,0.0,0.0,True,2018-06-14T21:55:28.130243-07:00,2018-06-14T21:55:36.160245-07:00,4.1875
37,-9.384,0.6159999999999999,0.0,0.0,True,2018-06-14T21:55:36.274121-07:00,2018-06-14T21:55:39.611872-07:00,1.8125
38,-10.0,-1.3877787807814457e-17,0.0,0.0,False,2018-06-14T21:55:39.727232-07:00,2018-06-14T21:55:42.581413-07:00,1.375
39,-9.879999999999999,0.12,0.0,0.0,True,2018-06-14T21:55:42.717052-07:00,2018-06-14T21:55:43.689995-07:00,0.5625
40,-9.676,0.324,0.0,0.0,False,2018-06-14T21:55:43.915141-07:00,2018-06-14T21:55:47.397200-07:00,1.9375
41,-9.808,0.19200000000000003,0.0,0.0,True,2018-06-14T21:55:47.599786-07:00,2018-06-14T21:55:47.898236-07:00,0.25
42,-7.239999999999998,2.7600000000000025,0.0,0.0,True,2018-06-14T21:55:48.072981-07:00,2018-06-14T21:56:18.037299-07:00,15.875
43,-7.227999999999998,2.7720000000000016,0.0,0.0,True,2018-06-14T21:56:18.132544-07:00,2018-06-14T21:56:33.782292-07:00,8.125
44,-10.06,-0.06000000000000001,0.0,0.0,False,2018-06-14T21:56:33.917455-07:00,2018-06-14T21:56:36.702075-07:00,1.5
45,-9.868,0.132,0.0,0.0,True,2018-06-14T21:56:36.796528-07:00,2018-06-14T21:56:37.624911-07:00,0.5
46,-9.508000000000001,0.4919999999999999,0.0,0.0,False,2018-06-14T21:56:37.813282-07:00,2018-06-14T21:56:41.269558-07:00,1.875
47,-9.892,0.108,0.0,0.0,True,2018-06-14T21:56:41.477731-07:00,2018-06-14T21:56:41.795485-07:00,0.1875
48,-9.688,0.312,0.0,0.0,False,2018-06-14T21:56:41.981187-07:00,2018-06-14T21:56:45.781725-07:00,2.0
